,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Event.Year
84477,20200213X54754,0,DCA20WA078,2020-02-09,"East Midlands, United Kingdom",United Kingdom,,,,,,Minor,Airplane,G-DTRN,Boeing,737,0.0,2.0,Turbo Fan,UNK,Business,0.0,0.0,0.0,0.0,VMC,,,26-09-2020,2020
84878,20200707X51545,0,DCA20WA119,2020-06-11,"Banjarmasin, Indonesia",Indonesia,,,,,Non-Fatal,Minor,Airplane,PK-GML,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,37.0,VMC,,,26-09-2020,2020
85118,20200729X63244,0,DCA20WA133,2020-07-28,"Wamena, Indonesia",Indonesia,,,,,Non-Fatal,Minor,Airplane,PK-YSZ,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,3.0,VMC,,,26-09-2020,2020
85339,20210108102504,0,DCA21WA065,2020-09-12,"Khartoum, South Sudan",South Sudan,153522N,0323312E,KRT,Khartoum International Airport,,Minor,Airplane,C5-BDB,Boeing,737,0.0,2.0,Turbo Fan,129,Business,0.0,0.0,0.0,0.0,VMC,,,,2020
85653,20201214102413,0,DCA21WA049,2020-12-02,"Garowe, Somalia",Somalia,008250N,0048290E,GGR,Garowe,Non-Fatal,Minor,Airplane,EY-560,Boeing,737,0.0,2.0,Turbo Fan,129,Business,0.0,0.0,0.0,39.0,VMC,,,,2020
85661,20201215102417,0,ENG21WA008,2020-12-05,"Katowice, Poland",Poland,,,KTW,Katowice Airport,Non-Fatal,Minor,Airplane,LZ-CGU,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,2.0,VMC,,,,2020
85841,20210310102739,0,ENG21WA017,2021-02-06,"Kinshasa, Central Africa",Central Africa,,,,,,Minor,Airplane,9S-AII,Boeing,737,0.0,2.0,Turbo Fan,UNK,Business,0.0,0.0,0.0,0.0,VMC,,,,2021
86601,20210726103538,1,DCA21WA185,2021-07-21,"Dubai, Turks And Caicos",Turks And Caicos,251510N,0552152E,OMDB,Dubai Al International Airport,,Minor,Airplane,A6-FER,Boeing,737,0.0,2.0,Turbo Fan,129,Business,0.0,0.0,0.0,0.0,VMC,,,,2021
87295,20220106104495,0,DCA22WA062,2022-01-04,"Isfahan, ",Iran,,,OIFM,Isfahan International Airport,,Minor,Airplane,EP-CAP,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,,2022
87407,20220217104662,0,ENG22WA013,2022-02-10,"Lanseria, OF",United States,026647S,0028046E,,,Non-Fatal,Minor,Airplane,ZS-ZWD,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,163.0,VMC,,,04-03-2022,2022
87494,20220309104748,0,DCA22WA090,2022-03-02,"Karachi, OF",Pakistan,,,JIAP,"Jinnah International Airport,",Non-Fatal,Minor,Airplane,AP-BNB,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,115.0,VMC,,,09-06-2022,2022
87510,20220314104779,0,ENG22WA015,2022-03-07,"Lanseria, OF",South Africa,,,,,Non-Fatal,Minor,Airplane,ZS-ZWB,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,141.0,VMC,,,07-06-2022,2022
87516,20220310104758,0,DCA22WA095,2022-03-09,"Manchester, OF",United Kingdom,,,,,Non-Fatal,Minor,Airplane,G-TAWY,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,177.0,VMC,,,11-03-2022,2022
87732,20220510105058,0,ENG22WA024,2022-04-26,"Queensland, ",American Samoa,028952S,1533017E,YBCG,Gold Coast Aerodrome,,Minor,Airplane,VH-YFZ,Boeing,737,0.0,2.0,Turbo Fan,121,Business,0.0,0.0,0.0,0.0,VMC,,,,2022
87774,20220515105077,0,DCA22WA123,2022-05-06,"Kathmandu, ",Nepal,,,,,Non-Fatal,Minor,Airplane,9V-MGL,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,173.0,VMC,,,20-05-2022,2022
